game_id,season,week,gameday,home_team,away_team,home_elo_before,away_elo_before,elo_diff,home_elo_with_hfa_diff,elo_home_win_prob,home_elo_after,away_elo_after
2018_01_ATL_PHI,2018,1,2018-09-06,PHI,ATL,1500.0,1500.0,0.0,55.0,0.5784967523447427,1508.430064953105,1491.569935046895
2018_01_BUF_BAL,2018,1,2018-09-09,BAL,BUF,1500.0,1500.0,0.0,55.0,0.5784967523447427,1508.430064953105,1491.569935046895
2018_01_PIT_CLE,2018,1,2018-09-09,CLE,PIT,1500.0,1500.0,0.0,55.0,0.5784967523447427,1498.430064953105,1501.569935046895
2018_01_CIN_IND,2018,1,2018-09-09,IND,CIN,1500.0,1500.0,0.0,55.0,0.5784967523447427,1488.430064953105,1511.569935046895
2018_01_TEN_MIA,2018,1,2018-09-09,MIA,TEN,1500.0,1500.0,0.0,55.0,0.5784967523447427,1508.430064953105,1491.569935046895
2018_01_SF_MIN,2018,1,2018-09-09,MIN,SF,1500.0,1500.0,0.0,55.0,0.5784967523447427,1508.430064953105,1491.569935046895
2018_01_HOU_NE,2018,1,2018-09-09,NE,HOU,1500.0,1500.0,0.0,55.0,0.5784967523447427,1508.430064953105,1491.569935046895
2018_01_TB_NO,2018,1,2018-09-09,NO,TB,1500.0,1500.0,0.0,55.0,0.5784967523447427,1488.430064953105,1511.569935046895
2018_01_JAX_NYG,2018,1,2018-09-09,NYG,JAX,1500.0,1500.0,0.0,55.0,0.5784967523447427,1488.430064953105,1511.569935046895
2018_01_KC_LAC,2018,1,2018-09-09,LAC,KC,1500.0,1500.0,0.0,55.0,0.5784967523447427,1488.430064953105,1511.569935046895
2018_01_WAS_ARI,2018,1,2018-09-09,ARI,WAS,1500.0,1500.0,0.0,55.0,0.5784967523447427,1488.430064953105,1511.569935046895
2018_01_DAL_CAR,2018,1,2018-09-09,CAR,DAL,1500.0,1500.0,0.0,55.0,0.5784967523447427,1508.430064953105,1491.569935046895
2018_01_SEA_DEN,2018,1,2018-09-09,DEN,SEA,1500.0,1500.0,0.0,55.0,0.5784967523447427,1508.430064953105,1491.569935046895
2018_01_CHI_GB,2018,1,2018-09-09,GB,CHI,1500.0,1500.0,0.0,55.0,0.5784967523447427,1508.430064953105,1491.569935046895
2018_01_NYJ_DET,2018,1,2018-09-10,DET,NYJ,1500.0,1500.0,0.0,55.0,0.5784967523447427,1488.430064953105,1511.569935046895
2018_01_LA_OAK,2018,1,2018-09-10,OAK,LA,1500.0,1500.0,0.0,55.0,0.5784967523447427,1488.430064953105,1511.569935046895
2018_02_BAL_CIN,2018,2,2018-09-13,CIN,BAL,1511.569935046895,1508.430064953105,3.1398700937897956,58.139870093789796,0.5828976542102174,1519.9119819626906,1500.0880180373094
2018_02_CAR_ATL,2018,2,2018-09-16,ATL,CAR,1491.569935046895,1508.430064953105,-16.860129906210204,38.139870093789796,0.5546682657033499,1500.476569732828,1499.523430267172
2018_02_LAC_BUF,2018,2,2018-09-16,BUF,LAC,1491.569935046895,1488.430064953105,3.1398700937897956,58.139870093789796,0.5828976542102174,1479.9119819626906,1500.0880180373094
2018_02_MIN_GB,2018,2,2018-09-16,GB,MIN,1508.430064953105,1508.430064953105,0.0,55.0,0.5784967523447427,1506.8601299062102,1510.0
2018_02_CLE_NO,2018,2,2018-09-16,NO,CLE,1488.430064953105,1498.430064953105,-10.0,45.0,0.5644004902404213,1497.1420551482968,1489.7180747579134
