season,week,game_id,gameday,home_team,away_team,home_score,away_score,home_team_won,home_point_diff
2018,5,2018_05_GB_DET,2018-10-07,DET,GB,31.0,23.0,1,8.0
2018,5,2018_05_JAX_KC,2018-10-07,KC,JAX,30.0,14.0,1,16.0
2018,5,2018_05_DEN_NYJ,2018-10-07,NYJ,DEN,34.0,16.0,1,18.0
2018,5,2018_05_ATL_PIT,2018-10-07,PIT,ATL,41.0,17.0,1,24.0
2018,5,2018_05_OAK_LAC,2018-10-07,LAC,OAK,26.0,10.0,1,16.0
2018,5,2018_05_MIN_PHI,2018-10-07,PHI,MIN,21.0,23.0,0,-2.0
2018,5,2018_05_LA_SEA,2018-10-07,SEA,LA,31.0,33.0,0,-2.0
2018,5,2018_05_ARI_SF,2018-10-07,SF,ARI,18.0,28.0,0,-10.0
2018,5,2018_05_DAL_HOU,2018-10-07,HOU,DAL,19.0,16.0,1,3.0
2018,5,2018_05_WAS_NO,2018-10-08,NO,WAS,43.0,19.0,1,24.0
2018,6,2018_06_PHI_NYG,2018-10-11,NYG,PHI,13.0,34.0,0,-21.0
2018,6,2018_06_TB_ATL,2018-10-14,ATL,TB,34.0,29.0,1,5.0
2018,6,2018_06_PIT_CIN,2018-10-14,CIN,PIT,21.0,28.0,0,-7.0
2018,6,2018_06_LAC_CLE,2018-10-14,CLE,LAC,14.0,38.0,0,-24.0
2018,6,2018_06_BUF_HOU,2018-10-14,HOU,BUF,20.0,13.0,1,7.0
2018,6,2018_06_CHI_MIA,2018-10-14,MIA,CHI,31.0,28.0,1,3.0
2018,6,2018_06_ARI_MIN,2018-10-14,MIN,ARI,27.0,17.0,1,10.0
2018,6,2018_06_IND_NYJ,2018-10-14,NYJ,IND,42.0,34.0,1,8.0
2018,6,2018_06_SEA_OAK,2018-10-14,OAK,SEA,3.0,27.0,0,-24.0
2018,6,2018_06_CAR_WAS,2018-10-14,WAS,CAR,23.0,17.0,1,6.0
2018,6,2018_06_LA_DEN,2018-10-14,DEN,LA,20.0,23.0,0,-3.0
2018,6,2018_06_JAX_DAL,2018-10-14,DAL,JAX,40.0,7.0,1,33.0
2018,6,2018_06_BAL_TEN,2018-10-14,TEN,BAL,0.0,21.0,0,-21.0
2018,6,2018_06_KC_NE,2018-10-14,NE,KC,43.0,40.0,1,3.0
2018,6,2018_06_SF_GB,2018-10-15,GB,SF,33.0,30.0,1,3.0
2018,7,2018_07_DEN_ARI,2018-10-18,ARI,DEN,10.0,45.0,0,-35.0
2018,7,2018_07_NE_CHI,2018-10-21,CHI,NE,31.0,38.0,0,-7.0
