season,week,team,off_epa_per_play_before,def_epa_allowed_per_play_before,last3_off_epa_per_play,last3_def_epa_allowed_per_play
2018,1,ARI,0.0,0.0,0.0,0.0
2018,2,ARI,-0.23807424657485066,0.1690906318458351,-0.23807424306869507,0.1690906286239624
2018,3,ARI,-0.3073263777063248,0.18174468146430123,-0.3137684315443039,0.18210622668266296
2018,4,ARI,-0.28076972424144475,0.10422795255419234,-0.28543328245480853,0.10222211604317029
2018,5,ARI,-0.2343918771454782,0.08748836935001568,-0.24500550578037897,0.05553758765260378
2018,6,ARI,-0.21645077363944348,0.020635713406694615,-0.1610212797919909,-0.06689682975411415
2018,7,ARI,-0.2517891442215683,-0.004212113212393405,-0.22074044495821,-0.09406416614850362
2018,8,ARI,-0.322961912050352,0.0015072413017413367,-0.3965827226638794,-0.0872192420065403
2018,10,ARI,-0.289217328691816,-0.015781834505606388,-0.38416195164124173,-0.07981809849540393
2018,11,ARI,-0.26943717971893866,-0.0031976613559220966,-0.29640434434016544,0.006813383350769679
2018,12,ARI,-0.26486667431551686,-0.004170302467459387,-0.15535952399174371,-0.014087351970374584
2018,13,ARI,-0.26905959130941715,0.02688102670478304,-0.22906886041164398,0.1538687568778793
2018,14,ARI,-0.239495252424102,0.024890364097256965,-0.15632963677247366,0.11526582607378562
2018,15,ARI,-0.24769564503047312,0.010304239794457248,-0.19245970249176025,0.05129595845937729
2018,16,ARI,-0.25673493137702846,0.0214181309216531,-0.20452762643496195,-0.01086273044347763
2018,17,ARI,-0.24789456253878045,0.03896252282396825,-0.2684258073568344,0.08438875277837117
2019,1,ARI,0.0,0.0,0.0,0.0
2019,2,ARI,-0.09163710582687194,0.0379709188754742,-0.09163710474967957,0.03797091916203499
2019,3,ARI,-0.011964067055361115,0.09969128789128484,0.00942961871623993,0.10321816243231297
2019,4,ARI,-0.03844198953537714,0.14841391400593082,-0.023091398179531097,0.16045269990960756
2019,5,ARI,-0.05444417426835245,0.15020246216745087,-0.030006736516952515,0.19993470112482706
2019,6,ARI,0.015363797633605595,0.14028207509795582,0.027370681365331013,0.17645969738562903
2019,7,ARI,0.053707752227783206,0.16920892867453607,0.14432986825704575,0.1911170855164528
2019,8,ARI,0.057310524986300404,0.11719237340179309,0.2091766521334648,0.07427588850259781
2019,9,ARI,0.020120609441452476,0.1319453843677317,0.005803368985652924,0.1174721618493398
2019,10,ARI,0.03749463891470304,0.14207677954142872,-0.011707030236721039,0.08494532108306885
2019,11,ARI,0.03917996446419376,0.12702648807177808,-0.021134803692499798,0.1539780581369996
2019,13,ARI,0.027755636917917353,0.1206938702127208,0.05907689034938812,0.09725570647666852
2019,14,ARI,-0.014129930534618813,0.1299401787735531,-0.17225995659828186,0.09704367785404126
2019,15,ARI,-0.02424225605039525,0.11728814288956621,-0.24235530197620392,0.07073302442828815
2019,16,ARI,-0.0029932502808609628,0.1163544322644527,-0.11812019348144531,0.08627524723609288
2019,17,ARI,0.008219613083477679,0.09578057608300683,0.09391676882902782,-0.06961538642644882
2020,1,ARI,0.0,0.0,0.0,0.0
2020,2,ARI,0.07341389973958333,-0.04643698989367876,0.0734139010310173,-0.046436991542577744
2020,3,ARI,0.09307572003957387,-0.059193847625236204,0.09334506094455719,-0.05909097008407116
2020,4,ARI,0.06427920825108532,-0.028639607816129117,0.061106792030235134,-0.02873529369632403
2020,5,ARI,0.06744148856715153,0.058528603531244235,0.06315987650305033,0.08415719370047252
2020,6,ARI,0.1047967985677575,0.019675218834067292,0.1112898796175917,0.06323079268137614
2020,7,ARI,0.13801184434157152,-0.021346867974124738,0.2205310861269633,-0.006309484442075093
2020,9,ARI,0.12712592996928115,0.001532038381277037,0.21800319850444794,-0.06582481414079666
2020,10,ARI,0.1300544666929658,0.015740110443513044,0.18258901437123617,0.02751299987236659
2020,11,ARI,0.12120470572943703,0.012916268593023632,0.09281055132548015,0.0832666652277112
2020,12,ARI,0.12235849710335409,0.030547972555991048,0.11327526966730754,0.11384176928550005
2020,13,ARI,0.10469619854777848,0.012448986149367007,0.04176881412665049,-0.010864499025046825
2020,14,ARI,0.08259290187203105,0.03015794790106794,-0.037815243005752563,0.05720618863900503
2020,15,ARI,0.07946952329863102,0.006767223113506254,-0.06669103230039279,-0.1351939539114634
2020,16,ARI,0.07493808827501662,0.00778330186077213,-0.04004943991700808,-0.05286894924938679
2020,17,ARI,0.05500273237041398,0.017139786219523653,-0.03855077549815178,-0.058789582923054695
2021,1,ARI,0.0,0.0,0.0,0.0
2021,2,ARI,0.18510035614469159,-0.32565975189208984,0.18510036170482635,-0.32565975189208984
